timestamp_s,node_state,sampling_interval_s,transmission_interval_s,current_load_A,voltage_bus_V,power_load_W
0.0,LORA_TX,30.0,120.0,0.12,3.6,0.432
1.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003
2.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
3.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
4.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
5.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
6.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
7.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
8.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
9.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
10.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
11.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
12.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
13.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
14.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
15.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
16.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
17.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
18.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
19.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
20.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
21.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
22.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
23.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
24.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
25.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
26.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
27.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
28.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
29.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
30.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003
31.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003
32.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
33.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
34.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
35.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
36.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
37.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
38.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
39.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
40.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
41.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
42.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
43.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
44.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
45.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
46.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
47.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
48.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
49.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
50.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
51.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
52.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
53.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
54.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
55.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
56.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
57.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
58.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
59.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
60.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003
61.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003
62.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
63.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
64.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
65.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
66.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
67.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
68.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
69.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
70.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
71.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
72.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
73.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
74.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
75.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
76.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
77.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
78.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
79.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
80.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
81.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
82.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
83.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
84.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
85.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
86.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
87.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
88.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
89.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
90.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003
91.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003
92.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
93.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
94.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
95.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
96.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
97.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
98.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
99.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
100.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
101.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
102.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
103.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
104.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
105.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
106.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
107.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
108.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
109.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
110.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
111.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
112.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
113.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
114.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
115.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
116.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
117.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
118.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
119.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
120.0,LORA_TX,30.0,120.0,0.12,3.6,0.432
121.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003
122.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
123.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
124.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
125.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
126.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
127.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
128.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
129.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
130.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
131.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
132.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
133.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
134.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05
